"","GEOID","r_stat"
"648","04027011123","Neither"
"649","04027011801","Neither"
"650","04027011125","Neither"
"651","04027011121","Neither"
"652","04027000909","Neither"
"653","04027011802","Neither"
"654","04027011119","Neither"
"655","04027011118","Neither"
"656","04027011117","Neither"
"657","04013061100","Neither"
"658","04013980700","Neither"
"659","04019941000","Neither"
"660","04019004619","Neither"
"661","04019004715","Neither"
"662","04019004052","Neither"
"663","04019004026","Neither"
"664","04019004061","Neither"
"665","04019004109","Neither"
"666","04019004311","Neither"
"667","04019004633","Neither"
"668","04019004639","Neither"
"669","04019004713","Neither"
"670","04019940900","Neither"
"671","04021941200","Neither"
"672","04021000201","Neither"
"673","04021001200","Neither"
"674","04021001900","Neither"
"675","04013116621","Neither"
"676","04013116620","Neither"
"677","04013116618","Neither"
"678","04013421201","Neither"
"679","04005001301","Neither"
"680","04005001302","Neither"
"681","04005001101","Neither"
"682","04019004333","Neither"
"683","04015953405","Neither"
"684","04015952801","Neither"
"685","04015953404","Neither"
"686","04015952502","Neither"
"687","04015952501","Neither"
"688","04015950101","Neither"
"689","04015953406","Neither"
"690","05007021408","Neither"
"691","05007020803","Neither"
"692","05125010407","Neither"
"693","05125010511","Neither"
"694","05125010303","Neither"
"695","05125010302","Neither"
"696","05125010512","Neither"
"697","05125010508","Neither"
"698","05125010509","Neither"
"699","05033020204","Neither"
"700","05007020304","Neither"
"701","05033020302","Neither"
"702","05033020502","Neither"
"703","05033020501","Neither"
"704","05125010106","Neither"
"705","05125010513","Neither"
"706","05125010602","Neither"
"707","05125010601","Neither"
"708","05119003001","Neither"
"709","05119003207","Neither"
"710","05035030805","Neither"
"711","05007021306","Neither"
"712","05119003405","Neither"
"713","05119003406","Neither"
"714","05119980300","Neither"
"715","05119980400","Neither"
"716","05119980100","Neither"
"717","05119004307","Neither"
"718","05119004309","Neither"
"719","05119004225","Neither"
"720","05119004226","Neither"
"721","05119004224","Neither"
"722","05119004901","Neither"
"723","05119004311","Neither"
"724","05119004308","Neither"
"725","05119004213","Neither"
"726","05007021304","Neither"
"727","05033020401","Neither"
"728","05085020108","Neither"
"729","05085020105","Neither"
"730","05085020106","Neither"
"731","05119004005","Neither"
"732","05119004106","Neither"
"733","05119003604","Neither"
"734","05119002600","Neither"
"735","05119004104","Neither"
"736","05119003404","Neither"
"737","05119004001","Neither"
"738","05119004006","Neither"
"739","05119004105","Neither"
"740","05119004201","Neither"
"741","05119003900","Neither"
"742","05119003605","Neither"
"743","05119004202","Neither"
"744","05125010520","Neither"
"745","05125010410","Neither"
"746","05125010411","Neither"
"747","05125010107","Neither"
"748","05125010518","Neither"
"749","05143010113","Neither"
"750","05143011005","Neither"
"751","05143010511","Neither"
"752","05143010109","Neither"
"753","05143011107","Neither"
"754","05143010515","Neither"
"755","05143010405","Neither"
"756","05143011006","Neither"
"757","05143010518","Neither"
"758","05143010517","Neither"
"759","05143011106","Neither"
"760","05143011105","Neither"
"761","05143010512","Neither"
"762","05143010519","Neither"
"763","05143010303","Neither"
"764","05143010108","Neither"
"765","05143010305","Neither"
"766","05143010520","Neither"
"767","05007020806","Neither"
"768","05131010301","Neither"
"769","05131010101","Neither"
"770","05131001102","Neither"
"771","05007020201","Neither"
"772","05007020501","Neither"
"773","05085020205","Neither"
"774","05119003713","Neither"
"775","05125010409","Neither"
"776","05035030202","Neither"
"777","05119004218","Neither"
"778","05007020205","Neither"
"779","05119001502","Neither"
"780","05007020102","Neither"
"781","05007020704","Neither"
"782","05007020701","Neither"
"783","05007020805","Neither"
"784","05007020703","Neither"
"785","05007020206","Neither"
"786","05007021407","Neither"
"787","05007020203","Neither"
"788","05007021305","Neither"
"789","05007020606","Neither"
"790","05007020605","Neither"
"791","05007020801","Neither"
"792","05007021404","Neither"
"793","05007021406","Neither"
"794","05007021308","Neither"
"795","05031001101","Neither"
"796","05031001102","Neither"
"797","05031000806","Neither"
"798","05031000702","Neither"
"799","05031000701","Neither"
"800","05031000803","Neither"
"801","05031000804","Neither"
"802","05131010201","Neither"
"803","05085020206","Neither"
"804","05035030702","Neither"
"805","05035030806","Neither"
"806","05035030703","Neither"
"807","05035030807","Neither"
"808","05035030102","Neither"
"809","05035030803","Neither"
"810","05035030201","Neither"
"811","05035030301","Neither"
"812","05035030302","Neither"
"813","05143010508","Neither"
"814","05031001200","Neither"
"815","05031000900","Neither"
"816","05031000601","Neither"
"817","05119003607","Neither"
"818","05119003608","Neither"
"819","05119004007","Neither"
"820","05119004205","Neither"
"821","05119003609","Neither"
"822","05119003707","Neither"
"823","05119004902","Neither"
"824","05119004310","Neither"
"825","05131001310","Neither"
"826","05131001307","Neither"
"827","05131001308","Neither"
"828","05131001311","Neither"
"829","05131001312","Neither"
"830","05131001306","Neither"
"831","05035030602","Neither"
"832","05007020905","Neither"
"833","05007020904","Neither"
"834","05007020906","Neither"
"835","05007021317","Neither"
"836","05007021316","Neither"
"837","05007020607","Neither"
"838","05007021315","Neither"
"839","05007021314","Neither"
"840","05033020207","Neither"
"841","05033020602","Neither"
"842","05033020601","Neither"
"843","05033020208","Neither"
"844","05045031006","Neither"
"845","05085020202","Neither"
"846","05085020103","Neither"
"847","05085020201","Neither"
"848","05085020204","Neither"
"849","05085020102","Neither"
"850","05045031003","Neither"
"851","05119001600","Neither"
"852","05119002700","Neither"
"853","05119003100","Neither"
"854","05119002500","Neither"
"855","05119003606","Neither"
"856","05119003800","Neither"
"857","05119004302","Neither"
"858","05031000401","Neither"
"859","05031000501","Neither"
"860","05029950500","Neither"
"861","05045031008","Neither"
"862","05045030503","Neither"
"863","05045030504","Neither"
"864","05031000502","Neither"
"865","05119004400","Neither"
"866","05119003711","Neither"
"867","05143010501","Neither"
"868","05045031101","Neither"
"869","05045030404","Neither"
"870","05045031102","Neither"
"871","05045030401","Neither"
"872","05045030402","Neither"
"873","05045031001","Neither"
"874","05045030403","Neither"
"875","05045030301","Neither"
"876","05125010408","Neither"
"877","05143010101","Neither"
"878","05143011003","Neither"
"879","06047000802","Neither"
"880","06047001003","Neither"
"881","06047001402","Neither"
"882","06047001501","Neither"
"883","06047001601","Neither"
"884","06073010015","Neither"
"885","06073021900","Neither"
"886","06053000101","Neither"
"887","06111003615","Neither"
"888","06013392000","Neither"
"889","06013351200","Neither"
"890","06047001005","Neither"
"891","06047001200","Neither"
"892","06047001700","Neither"
"893","06047001801","Neither"
"894","06037300100","Neither"
"895","06111002800","Neither"
"896","06083001704","Neither"
"897","06053010202","Neither"
"898","06029000400","Neither"
"899","06013354001","Neither"
"900","06013318000","Neither"
"901","06013314200","Neither"
"902","06013357000","Neither"
"903","06071008403","Neither"
"904","06013320001","Neither"
"905","06013355302","Neither"
"906","06111007515","Neither"
"907","06111008308","Neither"
"908","06111003617","Neither"
"909","06111008502","Neither"
"910","06111009600","Neither"
"911","06013385100","Neither"
"912","06071000115","Neither"
"913","06013365002","Neither"
"914","06065042624","Neither"
"915","06065042730","Neither"
"916","06065042731","Neither"
"917","06065042733","Neither"
"918","06065042737","Neither"
"919","06065042745","Neither"
"920","06065043007","Neither"
"921","06065043246","Neither"
"922","06065043254","Neither"
"923","06065043265","Neither"
"924","06065043267","Neither"
"925","06065043272","Neither"
"926","06065041913","Neither"
"927","06065043008","Neither"
"928","06065043813","Neither"
"929","06029000907","Neither"
"930","06029000909","Neither"
"931","06111007516","Neither"
"932","06111002302","Neither"
"933","06111001801","Neither"
"934","06111005006","Neither"
"935","06111008501","Neither"
"936","06111001303","Neither"
"937","06111009500","Neither"
"938","06111009700","Neither"
"939","06111005602","Neither"
"940","06111003618","Neither"
"941","06111009300","Neither"
"942","06111005005","Neither"
"943","06095250801","Neither"
"944","06095252915","Neither"
"945","06013359202","Neither"
"946","06029006202","Neither"
"947","06111004704","Neither"
"948","06113010401","Neither"
"949","06073017022","Neither"
"950","06073010103","Neither"
"951","06111003616","Neither"
"952","06013348000","Neither"
"953","06013352101","Neither"
"954","06013305000","Neither"
"955","06029003103","Neither"
"956","06053010504","Neither"
"957","06053001500","Neither"
"958","06053001700","Neither"
"959","06029005104","Neither"
"960","06029003900","Neither"
